zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
27006,35.9445,-80.4376,Advance,NC,North Carolina,TRUE,,14150,85.5,37059,Davie,{'37059':100},FALSE,FALSE,America/New_York
27007,36.3873,-80.5925,Ararat,NC,North Carolina,TRUE,,2162,39.3,37171,Surry,{'37171':100},FALSE,FALSE,America/New_York
27009,36.233,-80.0762,Belews Creek,NC,North Carolina,TRUE,,2647,64.7,37067,Forsyth,"{'37067':99.7,'37169':0.3}",FALSE,FALSE,America/New_York
27011,36.2155,-80.6967,Boonville,NC,North Carolina,TRUE,,5497,39.9,37197,Yadkin,{'37197':100},FALSE,FALSE,America/New_York
27012,36.0041,-80.3758,Clemmons,NC,North Carolina,TRUE,,25461,234.4,37067,Forsyth,"{'37057':19.96,'37067':80.04}",FALSE,FALSE,America/New_York
27013,35.756,-80.7035,Cleveland,NC,North Carolina,TRUE,,6057,31,37159,Rowan,"{'37097':28.91,'37159':71.09}",FALSE,FALSE,America/New_York
27014,35.8121,-80.5551,Cooleemee,NC,North Carolina,TRUE,,840,519.5,37059,Davie,{'37059':100},FALSE,FALSE,America/New_York
27016,36.4517,-80.2145,Danbury,NC,North Carolina,TRUE,,1936,18.7,37169,Stokes,{'37169':100},FALSE,FALSE,America/New_York
27017,36.3814,-80.7602,Dobson,NC,North Carolina,TRUE,,9597,34.5,37171,Surry,{'37171':100},FALSE,FALSE,America/New_York
27018,36.1979,-80.5207,East Bend,NC,North Carolina,TRUE,,7655,36.1,37197,Yadkin,{'37197':100},FALSE,FALSE,America/New_York
27019,36.2839,-80.2348,Germanton,NC,North Carolina,TRUE,,4032,44.3,37169,Stokes,"{'37067':36.93,'37169':63.07}",FALSE,FALSE,America/New_York
27020,36.1009,-80.808,Hamptonville,NC,North Carolina,TRUE,,6421,33.8,37197,Yadkin,"{'37097':6.7,'37193':6.06,'37197':87.24}",FALSE,FALSE,America/New_York
27021,36.3184,-80.3387,King,NC,North Carolina,TRUE,,18106,131.4,37169,Stokes,"{'37067':0.76,'37169':99.24}",FALSE,FALSE,America/New_York
27022,36.5145,-80.2146,Lawsonville,NC,North Carolina,TRUE,,1560,18.1,37169,Stokes,{'37169':100},FALSE,FALSE,America/New_York
27023,36.0908,-80.4505,Lewisville,NC,North Carolina,TRUE,,11873,165,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
27024,36.5238,-80.8412,Lowgap,NC,North Carolina,TRUE,,2733,24,37171,Surry,{'37171':100},FALSE,FALSE,America/New_York
27025,36.3779,-79.9729,Madison,NC,North Carolina,TRUE,,11138,43.7,37157,Rockingham,"{'37157':79.57,'37169':20.43}",FALSE,FALSE,America/New_York
27027,36.4455,-79.9894,Mayodan,NC,North Carolina,TRUE,,4385,77.5,37157,Rockingham,{'37157':100},FALSE,FALSE,America/New_York
27028,35.9236,-80.5752,Mocksville,NC,North Carolina,TRUE,,25839,51.7,37059,Davie,"{'37059':99.83,'37097':0.17}",FALSE,FALSE,America/New_York
27030,36.4889,-80.6291,Mount Airy,NC,North Carolina,TRUE,,38374,86.9,37171,Surry,"{'37169':0.87,'37171':99.13}",FALSE,FALSE,America/New_York
27040,36.1689,-80.3898,Pfafftown,NC,North Carolina,TRUE,,10893,157.6,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
27041,36.4199,-80.4824,Pilot Mountain,NC,North Carolina,TRUE,,7554,49.4,37171,Surry,"{'37169':16.8,'37171':83.2}",FALSE,FALSE,America/New_York
27042,36.3412,-80.056,Pine Hall,NC,North Carolina,TRUE,,834,37.4,37169,Stokes,{'37169':100},FALSE,FALSE,America/New_York
27043,36.3374,-80.4503,Pinnacle,NC,North Carolina,TRUE,,6615,35.6,37169,Stokes,"{'37067':0.17,'37169':57.28,'37171':42.55}",FALSE,FALSE,America/New_York
27045,36.2349,-80.2958,Rural Hall,NC,North Carolina,TRUE,,8536,142.2,37067,Forsyth,"{'37067':98.18,'37169':1.82}",FALSE,FALSE,America/New_York
27046,36.4932,-80.0907,Sandy Ridge,NC,North Carolina,TRUE,,2024,19.2,37169,Stokes,{'37169':100},FALSE,FALSE,America/New_York
27047,36.3115,-80.5777,Siloam,NC,North Carolina,TRUE,,1191,22.6,37171,Surry,{'37171':100},FALSE,FALSE,America/New_York
27048,36.4757,-79.9106,Stoneville,NC,North Carolina,TRUE,,8609,40,37157,Rockingham,{'37157':100},FALSE,FALSE,America/New_York
27050,36.236,-80.4013,Tobaccoville,NC,North Carolina,TRUE,,3893,60.4,37067,Forsyth,"{'37067':84,'37169':16}",FALSE,FALSE,America/New_York
27051,36.1876,-80.1605,Walkertown,NC,North Carolina,TRUE,,7369,154.8,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
27052,36.3262,-80.1544,Walnut Cove,NC,North Carolina,TRUE,,10624,39.1,37169,Stokes,"{'37067':12.3,'37169':87.7}",FALSE,FALSE,America/New_York
27053,36.4728,-80.3483,Westfield,NC,North Carolina,TRUE,,3007,17.2,37169,Stokes,"{'37169':91.75,'37171':8.25}",FALSE,FALSE,America/New_York
27054,35.7925,-80.5983,Woodleaf,NC,North Carolina,TRUE,,2567,33.9,37159,Rowan,{'37159':100},FALSE,FALSE,America/New_York
27055,36.1135,-80.6337,Yadkinville,NC,North Carolina,TRUE,,14200,51.3,37197,Yadkin,"{'37059':0.24,'37097':0.37,'37197':99.39}",FALSE,FALSE,America/New_York
27101,36.1117,-80.1985,Winston Salem,NC,North Carolina,TRUE,,18901,571.7,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
27103,36.058,-80.3215,Winston Salem,NC,North Carolina,TRUE,,33208,691.2,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
27104,36.0948,-80.3239,Winston Salem,NC,North Carolina,TRUE,,28485,892.1,37067,Forsyth,{'37067':100},FALSE,FALSE,America/New_York
