zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
85003,33.4508,-112.0784,Phoenix,AZ,Arizona,TRUE,,9369,1953.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85004,33.4516,-112.0699,Phoenix,AZ,Arizona,TRUE,,4965,939.7,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85006,33.4651,-112.0479,Phoenix,AZ,Arizona,TRUE,,25742,2546.1,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85007,33.4471,-112.0912,Phoenix,AZ,Arizona,TRUE,,14040,1187.1,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85008,33.4633,-111.9868,Phoenix,AZ,Arizona,TRUE,,56145,2069.8,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85009,33.4428,-112.1282,Phoenix,AZ,Arizona,TRUE,,52520,1298,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85012,33.5073,-112.0703,Phoenix,AZ,Arizona,TRUE,,6390,1124.5,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85013,33.5101,-112.0829,Phoenix,AZ,Arizona,TRUE,,19314,2005.8,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85014,33.5085,-112.0567,Phoenix,AZ,Arizona,TRUE,,24782,2289.3,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85015,33.5092,-112.1018,Phoenix,AZ,Arizona,TRUE,,37644,2976.6,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85016,33.5136,-112.0297,Phoenix,AZ,Arizona,TRUE,,33896,1449.2,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85017,33.5091,-112.1237,Phoenix,AZ,Arizona,TRUE,,38872,2862.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85018,33.5054,-111.9858,Phoenix,AZ,Arizona,TRUE,,36065,1252.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85019,33.5092,-112.143,Phoenix,AZ,Arizona,TRUE,,25042,2578.1,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85020,33.5674,-112.0546,Phoenix,AZ,Arizona,TRUE,,32850,1426.6,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85021,33.56,-112.0939,Phoenix,AZ,Arizona,TRUE,,37743,2166.7,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85022,33.6271,-112.0518,Phoenix,AZ,Arizona,TRUE,,46395,1914.7,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85023,33.6315,-112.0947,Phoenix,AZ,Arizona,TRUE,,31274,1652.3,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85024,33.7355,-112.0335,Phoenix,AZ,Arizona,TRUE,,22898,313.8,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85027,33.6819,-112.0996,Phoenix,AZ,Arizona,TRUE,,37140,1020.1,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85028,33.5755,-112.0091,Phoenix,AZ,Arizona,TRUE,,19157,738,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85029,33.595,-112.1103,Phoenix,AZ,Arizona,TRUE,,43233,1749.1,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85031,33.4949,-112.1683,Phoenix,AZ,Arizona,TRUE,,30493,2904.3,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85032,33.6263,-112.0038,Phoenix,AZ,Arizona,TRUE,,65485,2035.6,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85033,33.4944,-112.2116,Phoenix,AZ,Arizona,TRUE,,53037,3359,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85034,33.4349,-112.0201,Phoenix,AZ,Arizona,TRUE,,5582,188.7,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85035,33.4714,-112.1947,Phoenix,AZ,Arizona,TRUE,,47486,3209,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85037,33.4906,-112.2647,Phoenix,AZ,Arizona,TRUE,,44771,2111.6,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85040,33.4061,-112.0266,Phoenix,AZ,Arizona,TRUE,,29352,1113.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85041,33.3859,-112.1088,Phoenix,AZ,Arizona,TRUE,,54947,1336.7,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85042,33.3688,-112.0425,Phoenix,AZ,Arizona,TRUE,,40962,1052.2,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85043,33.4324,-112.1965,Phoenix,AZ,Arizona,TRUE,,30560,624.2,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85044,33.3424,-112.0018,Phoenix,AZ,Arizona,TRUE,,37993,1017.8,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85045,33.2991,-112.1087,Phoenix,AZ,Arizona,TRUE,,7238,776.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85048,33.3125,-112.0558,Phoenix,AZ,Arizona,TRUE,,33449,654.5,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85050,33.6863,-111.9963,Phoenix,AZ,Arizona,TRUE,,25736,681.5,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85051,33.5591,-112.1332,Phoenix,AZ,Arizona,TRUE,,40375,2467.9,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85053,33.6299,-112.1316,Phoenix,AZ,Arizona,TRUE,,28480,2110.8,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
85054,33.6731,-111.9461,Phoenix,AZ,Arizona,TRUE,,5384,231,4013,Maricopa,{'04013':100},FALSE,FALSE,America/Phoenix
