zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
75001,32.96,-96.8385,Addison,TX,Texas,TRUE,,12414,1250.2,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75002,33.0897,-96.6075,Allen,TX,Texas,TRUE,,63140,655.7,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75006,32.9619,-96.897,Carrollton,TX,Texas,TRUE,,46364,1060.8,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75007,33.0046,-96.8971,Carrollton,TX,Texas,TRUE,,51624,1709.8,48121,Denton,"{'48113':5.79,'48121':94.21}",FALSE,FALSE,America/Chicago
75009,33.3403,-96.7503,Celina,TX,Texas,TRUE,,8785,35.5,48085,Collin,"{'48085':94.8,'48121':5.2}",FALSE,FALSE,America/Chicago
75010,33.0342,-96.8969,Carrollton,TX,Texas,TRUE,,21607,1031.8,48121,Denton,{'48121':100},FALSE,FALSE,America/Chicago
75013,33.1147,-96.6941,Allen,TX,Texas,TRUE,,30347,779.3,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75019,32.9633,-96.9855,Coppell,TX,Texas,TRUE,,38666,906,48113,Dallas,"{'48113':98.05,'48121':1.95}",FALSE,FALSE,America/Chicago
75020,33.7715,-96.6041,Denison,TX,Texas,TRUE,,21872,135,48181,Grayson,{'48181':100},FALSE,FALSE,America/Chicago
75021,33.7261,-96.4731,Denison,TX,Texas,TRUE,,8036,51.5,48181,Grayson,{'48181':100},FALSE,FALSE,America/Chicago
75022,33.0277,-97.1203,Flower Mound,TX,Texas,TRUE,,22545,453.1,48121,Denton,"{'48121':99.09,'48439':0.91}",FALSE,FALSE,America/Chicago
75023,33.057,-96.7324,Plano,TX,Texas,TRUE,,45452,1862.7,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75024,33.0774,-96.807,Plano,TX,Texas,TRUE,,36039,1098.4,48085,Collin,"{'48085':94.2,'48121':5.8}",FALSE,FALSE,America/Chicago
75025,33.0909,-96.7413,Plano,TX,Texas,TRUE,,50926,2102.5,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75028,33.0328,-97.0609,Flower Mound,TX,Texas,TRUE,,42226,1076.1,48121,Denton,"{'48121':99.99,'48439':0.01}",FALSE,FALSE,America/Chicago
75032,32.855,-96.4276,Rockwall,TX,Texas,TRUE,,27986,210.6,48397,Rockwall,{'48397':100},FALSE,FALSE,America/Chicago
75034,33.1519,-96.8604,Frisco,TX,Texas,TRUE,,72723,561.2,48121,Denton,"{'48085':34.04,'48121':65.96}",FALSE,FALSE,America/Chicago
75035,33.1553,-96.7727,Frisco,TX,Texas,TRUE,,47553,777.8,48085,Collin,{'48085':100},FALSE,FALSE,America/Chicago
75038,32.8746,-96.9976,Irving,TX,Texas,TRUE,,27802,802.6,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75039,32.8875,-96.9422,Irving,TX,Texas,TRUE,,11032,812.3,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75040,32.9277,-96.6201,Garland,TX,Texas,TRUE,,59406,1465.4,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75041,32.8809,-96.6515,Garland,TX,Texas,TRUE,,30700,1481.4,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75042,32.9139,-96.6749,Garland,TX,Texas,TRUE,,37881,1954.7,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75043,32.8571,-96.5794,Garland,TX,Texas,TRUE,,58094,1541.3,48113,Dallas,{'48113':100},FALSE,FALSE,America/Chicago
75044,32.9626,-96.6532,Garland,TX,Texas,TRUE,,40811,1467.4,48113,Dallas,"{'48085':0.64,'48113':99.36}",FALSE,FALSE,America/Chicago
75048,32.972,-96.5808,Sachse,TX,Texas,TRUE,,20328,748.1,48113,Dallas,"{'48085':31.09,'48113':68.91}",FALSE,FALSE,America/Chicago
75050,32.7741,-97.0053,Grand Prairie,TX,Texas,TRUE,,41041,640.4,48113,Dallas,"{'48113':76.1,'48439':23.9}",FALSE,FALSE,America/Chicago
75051,32.7276,-96.9944,Grand Prairie,TX,Texas,TRUE,,39285,1249.7,48113,Dallas,"{'48113':90.73,'48439':9.27}",FALSE,FALSE,America/Chicago
75052,32.6659,-97.0265,Grand Prairie,TX,Texas,TRUE,,88996,1313.6,48113,Dallas,"{'48113':62.84,'48439':37.16}",FALSE,FALSE,America/Chicago
75054,32.5906,-97.0405,Grand Prairie,TX,Texas,TRUE,,5053,359,48439,Tarrant,"{'48113':2.37,'48439':97.63}",FALSE,FALSE,America/Chicago
